Date,Open,High,Low,Close,Volume
24-01-2025,445.16,446.65,441.4,444.06,15549453
23-01-2025,442,446.75,441.5048,446.71,18389270
22-01-2025,437.56,447.27,436,446.2,27803811
21-01-2025,430.2,430.8999,425.595,428.5,26085703
17-01-2025,434.085,434.48,428.17,429.03,26197507
16-01-2025,428.695,429.49,424.39,424.58,15300023
15-01-2025,419.13,428.15,418.265,426.31,19637838
14-01-2025,417.81,419.74,410.72,415.67,16935856
13-01-2025,415.235,418.5,412.29,417.19,17604780
10-01-2025,424.63,424.71,415.02,418.95,20201132
08-01-2025,423.46,426.97,421.54,424.56,15054575
07-01-2025,429,430.65,420.8,422.37,18139065
06-01-2025,428,434.32,425.4774,427.85,20573648
03-01-2025,421.08,424.03,419.54,423.35,16662943
02-01-2025,425.53,426.07,414.85,418.58,16896469
31-12-2024,426.1,426.73,420.66,421.5,13246509
30-12-2024,426.06,427.55,421.9,424.83,13158703
27-12-2024,434.6,435.22,426.35,430.53,18117713
26-12-2024,439.08,440.94,436.63,438.11,8199927
24-12-2024,434.65,439.6,434.19,439.33,7164543
23-12-2024,436.74,437.65,432.83,435.25,19152519
20-12-2024,433.11,443.74,428.63,436.6,64263694
19-12-2024,441.62,443.1834,436.32,437.03,22963681
18-12-2024,451.32,452.65,437.02,437.39,24444545
17-12-2024,451.01,455.29,449.57,454.46,22733494
16-12-2024,447.27,452.18,445.28,451.59,23598834
13-12-2024,448.435,451.43,445.58,447.27,20177833
12-12-2024,449.11,456.1648,449.11,449.56,20834779
11-12-2024,444.05,450.35,444.05,448.99,19200208
10-12-2024,444.39,449.62,441.6,443.33,18469459
09-12-2024,442.6,448.33,440.5,446.02,19144388
06-12-2024,442.3,446.1,441.7703,443.57,18821002
05-12-2024,437.92,444.66,436.171,442.62,21697775
04-12-2024,433.03,439.67,432.63,437.42,26009429
03-12-2024,429.84,432.47,427.74,431.2,18301987
02-12-2024,421.57,433,421.31,430.98,20207223
29-11-2024,420.09,424.88,417.8,423.46,16271921
27-11-2024,425.105,427.2299,422.02,422.99,18332444
26-11-2024,419.585,429.0414,418.85,427.99,23458889
25-11-2024,418.38,421.08,414.85,418.79,27691090
22-11-2024,411.365,417.4,411.06,417,24814626
21-11-2024,419.5,419.78,410.2887,412.87,20780162
20-11-2024,416.87,417.29,410.58,415.49,19191655
19-11-2024,413.11,417.94,411.55,417.79,18133529
18-11-2024,414.87,418.4037,412.1,415.76,24742013
15-11-2024,419.82,422.8,413.64,415,28247644
14-11-2024,425,428.17,420,426.89,30246881
13-11-2024,421.64,429.325,418.21,425.2,21502185
12-11-2024,418.25,424.44,417.2,423.03,19401204
11-11-2024,422.515,424.81,416,418.01,24503321
08-11-2024,425.32,426.5,421.78,422.54,16891414
07-11-2024,421.28,426.85,419.88,425.43,19901782
06-11-2024,412.42,420.45,410.52,420.18,26681842
05-11-2024,408.37,414.9,408.08,411.46,17626011
04-11-2024,409.8,410.415,405.5713,408.46,19672286
01-11-2024,409.01,415.5,407.5,410.37,24230442
31-10-2024,415.36,416.16,406.3,406.35,53970981
30-10-2024,437.435,438.5,432.1,432.53,29749149
29-10-2024,428,433.17,425.8001,431.95,17644080
28-10-2024,431.655,431.94,426.3,426.59,14882444
25-10-2024,426.76,432.52,426.565,428.15,16899064
24-10-2024,425.325,425.9782,422.4,424.73,13581631
23-10-2024,430.855,431.08,422.53,424.6,19654379
22-10-2024,418.49,430.5793,418.04,427.51,25482197
21-10-2024,416.12,418.96,413.7501,418.78,14206115
18-10-2024,417.14,419.65,416.2601,418.16,17145317
17-10-2024,422.36,422.5,415.59,416.72,14820004
16-10-2024,415.17,416.36,410.48,416.12,15508932
15-10-2024,422.18,422.48,415.26,418.74,18900201
14-10-2024,417.77,424.04,417.52,419.14,16653086
11-10-2024,416.135,417.13,413.25,416.32,14144944
10-10-2024,415.225,417.35,413.15,415.84,13848376
09-10-2024,415.86,420.38,414.3,417.46,14974257
08-10-2024,410.9,415.66,408.17,414.71,19229261
07-10-2024,416,417.11,409,409.54,20919761
04-10-2024,418.24,419.75,414.97,416.06,19190913
03-10-2024,417.63,419.55,414.29,416.54,13686421
02-10-2024,422.58,422.82,416.71,417.13,16582257
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
